f1,f2,feasible,x1,x2,x3,x4,x5,x6,x7,x8
4.975819534832042201e+00,1.865540466934499975e+01,1.000000000000000000e+00,1.967323872716608335e+01,6.971063287447301526e+00,1.000000046264405569e+02,9.709843168882308362e+00,5.039635039539295036e+00,2.432154603463742015e-01,5.000003540094285768e+02,9.799988452291027441e-01
4.969071067453922019e+00,2.168436348988045737e+01,1.000000000000000000e+00,1.967410021635859607e+01,6.971135161791612411e+00,1.000010588374411498e+02,9.370208199958684148e+00,5.025084908248789617e+00,1.444221801685060758e+00,5.000001160838783676e+02,9.799995616585264191e-01
5.051933979174311418e+00,4.852968347937015592e-01,1.000000000000000000e+00,1.967337578228862682e+01,6.971117360801301288e+00,1.000000210875993787e+02,1.351472445154670687e+01,4.979117289423903081e+00,1.868930047101466840e+01,5.000014059291845001e+02,9.799999330490012373e-01
4.951782442348333646e+00,3.045343618640368177e+01,1.000000000000000000e+00,1.967337715971382650e+01,6.971661276803346574e+00,1.000000211492208422e+02,8.504142412068107504e+00,4.929040794171421602e+00,4.237363118195277778e+00,5.000000576412063538e+02,9.799962829856373459e-01
5.086478583541897969e+00,3.196202513568904141e-02,1.000000000000000000e+00,2.029369580729298050e+01,6.971175794675140480e+00,1.000000506284338400e+02,1.399820344913321435e+01,4.975121787605926826e+00,4.051638989472870489e-01,5.000008076924871148e+02,9.798603859756885859e-01
5.059508530799583959e+00,2.610499642310875057e-01,1.000000000000000000e+00,1.967317259679221664e+01,6.971954837840744545e+00,1.000031164782234896e+02,1.388866032469857359e+01,4.998975504649759927e+00,1.042404770338195341e+00,5.000005388762961616e+02,9.799997862873435217e-01
5.024194154911882926e+00,3.765771588427485383e+00,1.000000000000000000e+00,1.967335991868313627e+01,6.971676476890120711e+00,1.000004796949590400e+02,1.212468677536472050e+01,4.909939334000885225e+00,2.214525235560923289e+00,5.000000230583778489e+02,9.799993623067244641e-01
4.990516836793500666e+00,1.291305569743487247e+01,1.000000000000000000e+00,1.967450725312997051e+01,6.971192195637301303e+00,1.000012202752610335e+02,1.044135321044703346e+01,4.985188366481306588e+00,6.463661367568488414e-01,5.000000066104039433e+02,9.799998320822754794e-01
4.959554386896944500e+00,2.630217779207373141e+01,1.000000000000000000e+00,1.967312659052342383e+01,6.971195642417058025e+00,1.000010298088508875e+02,8.895848921624335048e+00,4.984587908057026340e+00,2.426216825553112244e+00,5.000000344188528629e+02,9.799931431978392560e-01
4.958267537895594046e+00,2.701009263822233208e+01,1.000000000000000000e+00,1.967417024481089172e+01,6.971646384993234413e+00,1.000010200215578919e+02,8.826847488921176321e+00,4.972930995068947091e+00,3.130026319906547894e+00,5.000000544520274843e+02,9.799997010626444460e-01
5.070433088407897415e+00,1.459210635755060770e-01,1.000000000000000000e+00,1.989649823763649295e+01,6.971204347953850800e+00,1.000030348912892038e+02,1.399280735572549617e+01,4.982546226952125679e+00,2.559258250552923553e+00,5.000002744330740825e+02,9.799993629340821855e-01
